"","PlayerName","pos","points","value"
"1","Todd Gurley","rb",246.345,96.5462846972937
"2","Le'Veon Bell","rb",232.98,87.5452549166542
"3","Ezekiel Elliott","rb",229.58,85.255430655212
"4","David Johnson","rb",211.27,72.924053529622
"5","Leonard Fournette","rb",195.115,62.044020899152
"6","Melvin Gordon","rb",194.055,61.3301345117613
"7","Kareem Hunt","rb",191.415,59.5521533205238
"8","Dalvin Cook","rb",184.5,54.8950548593848
"9","Saquon Barkley","rb",183.37,54.1340250313173
"10","Alvin Kamara","rb",182.975,53.8680013303556
"11","Antonio Brown","wr",134.605,50.1504042941319
"12","Aaron Rodgers","qb",324.582,48.0949502806256
"13","Devonta Freeman","rb",169.83,45.0151366489859
"14","Jordan Howard","rb",164.355,41.3278461103401
"15","DeAndre Hopkins","wr",121.36,41.2301918403668
"16","Rob Gronkowski","te",108.28,40.0448710462085
"17","Julio Jones","wr",114.175,36.3912543937604
"18","Tom Brady","qb",304.726,34.7223765938034
"19","Odell Beckham Jr.","wr",111.04,34.2799017291659
"20","LeSean McCoy","rb",150.81,32.2055903393889
"21","Michael Thomas","wr",107.435,31.8520145343133
"22","Alex Collins","rb",149.965,31.6365016626481
"23","Keenan Allen","wr",106.8,31.4243561796028
"24","Davante Adams","wr",106.8,31.4243561796028
"25","Russell Wilson","qb",299.362,31.1098420825165
"26","Derrick Henry","rb",147.73,30.1312789496119
"27","Joe Mixon","rb",147.485,29.9662769072433
"28","Jerick McKinnon","rb",145.55,28.6630975113931
"29","A.J. Green","wr",101.43,27.8077808019721
"30","Travis Kelce","te",89.26,27.2353247366115
"31","Tyreek Hill","wr",100.535,27.2050182390336
"32","Christian McCaffrey","rb",140.945,25.5617325925869
"33","Mike Evans","wr",97.84,25.3899957729787
"34","Jay Ajayi","rb",139.25,24.4201878504856
"35","Deshaun Watson","qb",288.998,24.1299189514616
"36","Cam Newton","qb",287.85,23.3567665243629
"37","Doug Baldwin","wr",94.445,23.1035389001563
"38","Kenyan Drake","rb",134.805,21.4265793675119
"39","Stephen Gostkowski","k",172.5,21.1369839462119
"40","Zach Ertz","te",79.82,20.8776950224898
"41","Stefon Diggs","wr",90.37,20.3591171750455
"42","T.Y. Hilton","wr",89.965,20.0863586968443
"43","Drew Brees","qb",282.924,20.0392152561676
"44","Amari Cooper","wr",89.795,19.9718674837722
"45","JuJu Smith-Schuster","wr",88.93,19.3893092525524
"46","Royce Freeman","rb",130.715,18.6720554765418
"47","Lamar Miller","rb",130.26,18.3656231121429
"48","Marvin Jones","wr",86.675,17.8706169850371
"49","Adam Thielen","wr",86.075,17.4665303506649
"50","Brandin Cooks","wr",85.36,16.9849937780381
"51","Greg Zuerlein","k",165.1,16.1532487889554
"52","Demaryius Thomas","wr",83.58,15.7862034294008
"53","Josh Gordon","wr",83.11,15.4696688991426
"54","Jimmy Graham","te",71.63,15.36191246331
"55","Larry Fitzgerald","wr",82.09,14.7827216207099
"56","Allen Robinson","wr",81.22,14.1967960008703
"57","Justin Tucker","k",161.9,13.998120072304
"58","Evan Engram","te",69.31,13.7994441437377
"59","Golden Tate","wr",79.99,13.3684184004074
"60","Greg Olsen","te",68.535,13.2774989076737
"61","Chris Boswell","k",160.8,13.2572945759551
"62","Chris Hogan","wr",79.485,13.0283121498109
"63","Alshon Jeffery","wr",79.03,12.721879785412
"64","Matt Bryant","k",159.8,12.5838168520015
"65","Marshawn Lynch","rb",121.28,12.3177931510398
"66","Delanie Walker","te",66.84,12.1359541655724
"67","Michael Crabtree","wr",77.615,11.7689088060177
"68","Marquise Goodwin","wr",77.425,11.6409480384665
"69","Devin Funchess","wr",76.89,11.2806374561513
