"","PlayerName","pos","points","value"
"1","Todd Gurley","rb",246.345,92.5435677526243
"2","Aaron Rodgers","qb",392.782,85.6222851975472
"3","Le'Veon Bell","rb",232.98,83.0160220374522
"4","Ezekiel Elliott","rb",229.58,80.5922543283923
"5","Tom Brady","qb",370.726,69.8991614943047
"6","David Johnson","rb",211.27,67.5395523422494
"7","Russell Wilson","qb",351.962,56.5228152317167
"8","Leonard Fournette","rb",195.115,56.023091359937
"9","Melvin Gordon","rb",194.055,55.2674461329948
"10","Kareem Hunt","rb",191.415,53.3854617941954
"11","Deshaun Watson","qb",343.798,50.7029212385506
"12","Drew Brees","qb",341.524,49.0818483649029
"13","Antonio Brown","wr",134.605,48.944263903771
"14","Dalvin Cook","rb",184.5,48.455945997681
"15","Saquon Barkley","rb",183.37,47.6503996708464
"16","Alvin Kamara","rb",182.975,47.368814892882
"17","Cam Newton","qb",332.25,42.4706655020143
"18","Rob Gronkowski","te",108.28,40.7141467858015
"19","DeAndre Hopkins","wr",121.36,39.5022629312716
"20","Devonta Freeman","rb",169.83,37.9981012059433
"21","Ben Roethlisberger","qb",324.196,36.7291875229648
"22","Matthew Stafford","qb",321.778,35.0054609581099
"23","Julio Jones","wr",114.175,34.3802714637436
"24","Andrew Luck","qb",320.754,34.2754791539695
"25","Jordan Howard","rb",164.355,34.0951223215013
"26","Carson Wentz","qb",320.434,34.0473598401757
"27","Odell Beckham Jr.","wr",111.04,32.1454150614193
"28","Philip Rivers","qb",317.608,32.0327811502335
"29","Kirk Cousins","qb",317.526,31.9743255760739
"30","Alex Smith","qb",314.612,29.8970140748384
"31","Michael Thomas","wr",107.435,29.5755084169602
"32","Keenan Allen","wr",106.8,29.1228341536505
"33","Davante Adams","wr",106.8,29.1228341536505
"34","Jimmy Garoppolo","qb",310.952,27.2878994233211
"35","Travis Kelce","te",89.26,27.1553050721784
"36","Matt Ryan","qb",309.452,26.2185901399123
"37","Jared Goff","qb",309.254,26.0774413145023
"38","A.J. Green","wr",101.43,25.2947069190471
"39","Tyreek Hill","wr",100.535,24.6566857132799
"40","LeSean McCoy","rb",150.81,24.4392594923201
"41","Alex Collins","rb",149.965,23.8368819293332
"42","Mike Evans","wr",97.84,22.7354933674222
"43","Derrick Henry","rb",147.73,22.2436110970541
"44","Joe Mixon","rb",147.485,22.0689572474307
"45","Jerick McKinnon","rb",145.55,20.6895482718334
"46","Zach Ertz","te",79.82,20.4257853152592
"47","Doug Baldwin","wr",94.445,20.3152900226403
"48","Stefon Diggs","wr",90.37,17.4103331360465
"49","Christian McCaffrey","rb",140.945,17.4067687717685
"50","T.Y. Hilton","wr",89.965,17.1216196295261
"51","Amari Cooper","wr",89.795,17.0004312440731
"52","JuJu Smith-Schuster","wr",88.93,16.3837962239741
"53","Jay Ajayi","rb",139.25,16.1984492815166
"54","Marvin Jones","wr",86.675,14.7762679345829
"55","Jimmy Graham","te",71.63,14.5873566278474
"56","Adam Thielen","wr",86.075,14.3485442212194
"57","Marcus Mariota","qb",292.672,14.2565836228463
"58","Dak Prescott","qb",292.394,14.0584049689878
"59","Brandin Cooks","wr",85.36,13.8388401294612
"60","Patrick Mahomes","qb",291.36,13.3212944362913
"61","Kenyan Drake","rb",134.805,13.0297294383486
"62","Evan Engram","te",69.31,12.9334916028418
"63","Blake Bortles","qb",290.588,12.7709565917636
"64","Demaryius Thomas","wr",83.58,12.5699264464828
"65","Greg Olsen","te",68.535,12.3810151397473
"66","Josh Gordon","wr",83.11,12.2348762043481
"67","Larry Fitzgerald","wr",82.09,11.5077458916301
"68","Delanie Walker","te",66.84,11.1726956494954
"69","Allen Robinson","wr",81.22,10.887546507253
"70","Royce Freeman","rb",130.715,10.1140794589207
"71","Kyle Rudolph","te",65.315,10.0855645446965
"72","Golden Tate","wr",79.99,10.0107128948579
"73","Lamar Miller","rb",130.26,9.78972230962003
"74","Chris Hogan","wr",79.485,9.65071210277692
"75","Alshon Jeffery","wr",79.03,9.32635495347625
"76","Michael Crabtree","wr",77.615,8.31763986279399
"77","Marquise Goodwin","wr",77.425,8.18219402022888
"78","Devin Funchess","wr",76.89,7.80080704247975
"79","Jarvis Landry","wr",75.36,6.71011157340281
"80","Sammy Watkins","wr",73.965,5.71565393983266
"81","Robert Woods","wr",73.945,5.70139648272054
"82","Cooper Kupp","wr",73.38,5.29862331930323
"83","Robby Anderson","wr",73.275,5.22377166946463
"84","Jordan Reed","te",58.18,4.99921671994878
"85","Randall Cobb","wr",72.26,4.5002057210247
"86","Jack Doyle","te",57.48,4.50020572102469
"87","Derek Carr","qb",277.688,3.57489675444828
"88","Marshawn Lynch","rb",121.28,3.38812406627957
"89","Trey Burton","te",55.12,2.8178257817949
"90","Ryan Tannehill","qb",275.544,2.04649735202935
"91","Andy Dalton","qb",275.132,1.75279373551976
"92","Corey Davis","wr",67.555,1.14613893539921
"93","Case Keenum","qb",274.076,1
"94","Mark Ingram","rb",117.93,1
"95","Jamison Crowder","wr",67.35,1
"96","George Kittle","te",52.57,1
"97","Stephen Gostkowski","k",0,1
"98","Greg Zuerlein","k",0,1
"99","Chris Boswell","k",0,1
"100","Justin Tucker","k",0,1
"101","Matt Bryant","k",0,1
"102","Harrison Butker","k",0,1
"103","Wil Lutz","k",0,1
"104","Jake Elliott","k",0,1
"105","Robbie Gould","k",0,1
"106","Matt Prater","k",0,1
"107","Mason Crosby","k",0,1
"108","Graham Gano","k",0,1
"109","Sam Ficken","k",0,1
"110","Josh Lambo","k",0,1
"111","Dan Bailey","k",0,1
"112","Adam Vinatieri","k",0,1
"113","Ryan Succop","k",0,1
"114","Caleb Sturgis","k",0,1
"115","Phil Dawson","k",0,1
"116","Sebastian Janikowski","k",0,1
"117","Dustin Hopkins","k",0,1
"118","Ka'imi Fairbairn","k",0,1
"119","Brandon McManus","k",0,1
"120","Chandler Catanzaro","k",0,1
"121","Steven Hauschka","k",0,1
"122","Randy Bullock","k",0,1
"123","Jason Sanders","k",0,1
"124","Cody Parkey","k",0,1
"125","Aldrick Rosas","k",0,1
"126","Zane Gonzalez","k",0,1
"127","Daniel Carlson","k",0,1
"128","Eddy Pineiro","k",0,1
"129","Cairo Santos","k",0,1
"130","Roberto Aguayo","k",0,1
"131","Mike Nugent","k",0,1
"132","Marshall Koehn","k",0,1
